Item,P5531,P3377,P2088,P856
Q85741850,,1351637D:US,anodot,https://www.anodot.com/
Q25339988,0001603015,1229973D:US,via-transportation,https://ridewithvia.com/
Q17108073,,,scopely,https://scopely.com/
Q106411720,0001819133,,tango-therapeutics,https://www.tangotx.com/
Q107518109,0001628171,RVMD:US,revolution-medicines,https://www.revmed.com/
Q17054335,0001571719,,giphy,https://giphy.com/
Q19864979,0001619181,,classpass,https://classpass.com/
Q28956397,,,minio-inc,https://min.io/
Q55604020,,,threatstream,https://www.anomali.com/
Q50039797,,1690033D:US,schweiger-dermatology,https://www.schweigerderm.com/
Q21892650,0001516587,1041069D:US,docker,https://www.docker.com/
Q23135213,0001572356,,ubeam,http://sonicenergy.com/
Q22908867,,,alfred,https://helloalfred.com/
Q17067327,0001592800,,freight-farms,https://www.freightfarms.com/
Q104479983,0001612042,,ascendis-pharma,https://ascendispharma.com/
Q4822735,0001427787,,ausenco,https://ausenco.com/
Q7833987,,0777864D:LN,transferwise,https://wise.com/
Q85761771,0001623872,,forward-networks,https://forwardnetworks.com/
Q18351488,,,magic-leap,https://www.magicleap.com/en-us
Q97321374,0001848117,1229601D:US,skydio,https://www.skydio.com/
Q8067635,,954087Z:US,zazzle,https://www.zazzle.com/
Q790795,,,aviapartner,https://www.aviapartner.aero/
Q4997443,0001379545,,bunchball,https://www.biworldwide.com/gamification/bunchball-nitro/?utm_source=bunchball.com&utm_medium=referral&utm_campaign=domain_redirect
Q81654756,0001709401,RUBY:US,rubius-therapeutics,https://www.rubiustx.com/
Q18136409,0001598000,,ello,https://ello.co/
Q104845106,,,smartcar,https://smartcar.com/
Q5635492,,,source-corp,https://www.exelatech.com/
Q7844320,,,triton-digital-media,https://www.tritondigital.com/
Q30283420,0001478320,,adaptive-biotechnologies,https://www.adaptivebiotech.com/
Q4928776,0001529216,8373525Z:US,bluestacks,https://www.bluestacks.com/
Q30610132,0001677226,0865920D:US,plaid,https://plaid.com/
Q25303242,,,socratic,https://socratic.org/
Q45133036,0001636282,,aeglea-biotherapeutics,https://www.aeglea.com/
Q27926304,0001338929,,global-fashion-group,https://global-fashion-group.com/
Q17061030,0001756708,,jumia-group,https://group.jumia.com/
Q18209310,0001538860,,continuum-analytics,
Q20714717,,,fundbox,https://fundbox.com/
Q52144716,0001638842,,,https://playground.global/
Q28407257,0001578014,,cybereason,http://www.cybereason.com/
Q65944364,,1255298D:IN,swiggy,https://www.swiggy.com/
Q43896128,0001339469,,chiasma,https://chiasma.com/
Q63417942,0001687403,1008952D:US,benchling,https://www.benchling.com
Q50079115,0001637536,,improbable,https://www.improbable.io/
Q4836201,0001469313,BOKU:LN,boku,https://www.boku.com/
Q16983127,0001553859,0760680D:US,wandera,https://www.wandera.com/
Q65074533,,,alluxio,https://www.alluxio.io/
Q4780797,0001424286,,appnexus,https://www.xandr.com
Q48806569,,,wayup,https://www.wayup.com/
Q104726619,,,stackrox,https://www.redhat.com/en/technologies/cloud-computing/openshift/advanced-cluster-security-kubernetes
Q30268698,0001631650,,allergen-research-corporation,
Q28186691,0001615306,,andela,https://andela.com/
Q21978988,0001548053,0987514D:US,talkspace,https://www.talkspace.com/
Q16924332,,,dji,https://www.dji.com/
Q30269167,0001703287,,nabriva-therapeutics,https://nabriva.com/
Q39055049,0001639723,1484497D:US,tripactions,https://www.tripactions.com/
Q55632125,,,hodinkee,https://www.hodinkee.com/
Q94758727,0001699838,1121747D:US,confluent,https://www.confluent.io/
Q18611497,0001647742,,zestyapp,
Q30267365,0001654441,,precision-nanosystem,https://www.precisionnanosystems.com/
Q30265497,0001633540,,spyryx-biosciences,http://spyryxbio.com/
Q17150241,0001642852,0932547D:FP,algolia,https://www.algolia.com/
Q27150197,0001744502,,cohesity,https://www.cohesity.com/
Q104481192,0001676725,,ideaya-biosciences,https://www.ideayabio.com/
Q83490533,0001642896,1284703D:US,samsara-2,https://samsara.com/
Q28409115,,,keybase,https://keybase.io/
Q104845347,0001584032,,freshly,https://www.freshly.com/
Q64142351,,,expanse-inc,https://expanse.co/
Q29035362,0001635371,1319796D:US,newstore,https://www.newstore.com/
Q18154898,0001562216,,paxata,https://www.datarobot.com/platform/dataprep/?redirect_source=paxata.com
Q18206046,,,cloudpassage,https://fidelissecurity.com/
Q25099325,,,spoonflower,https://www.spoonflower.com/
Q55642629,,,wag,https://wagwalking.com/
Q54953968,0001573127,,outdoor-voices,https://www.outdoorvoices.com/
Q23680003,0001580864,VRM:US,vroom-com,https://www.vroom.com/
Q63481268,,,alooma,
Q24910393,,,typeform,https://www.typeform.com/
Q22907075,0001604975,,move-loot,http://moveloot.com/
Q28222808,0001718624,1553896D:US,eshares,https://carta.com/
Q85776623,,,lightricks,https://www.lightricks.com/
Q54621387,0001652130,,intellia-therapeutics,https://www.intelliatx.com/
Q18395464,,,worthy,https://worthy.com/
Q30269284,0001649904,,rhythm-pharmaceuticals-2,https://www.rhythmtx.com/
Q5574625,,,gofundme,https://www.gofundme.com/
Q14933257,0001638859,,cartodb,https://carto.com/
Q24909927,0001690367,1325314D:IT,logz-io,https://logz.io/
Q16186120,,,medium,https://medium.com/
Q30639386,0001651005,,rapidsos,https://rapidsos.com/
Q43082944,0001652640,,pioneer-square-labs,
Q7692916,0000096831,,tecumseh-products,http://www.tecumseh.com/en/na/
Q25024981,0001815611,,codecombat,https://codecombat.com/
Q23132603,,,jopwell,https://www.jopwell.com/
Q21070780,,,gigster,https://gigster.com/
Q104481126,0001651311,,merus,https://merus.nl/
Q106411735,0001812364,,relay-therapeutics,https://relaytx.com/
